CSU term,Densho term ID,Densho term,Notes
World War II--Incarceration camps--Publications,74,Publications,
World War II--Incarceration camps--Religion,75,Religion,
World War II--Incarceration camps--Security,535,Security,65
World War II--Incarceration camps--Social and recreational activities,195,Social and recreational activities,
World War II--Incarceration camps--Social relations,532,Social relations,65
World War II--Incarceration camps--Sports,72,Sports,
World War II--Incarceration camps--The Journey,66,The journey,
World War II--Incarceration camps--Weddings,196,Weddings,
World War II--Incarceration camps--Work and jobs,76,Work and jobs,
World War II--Incarceration camps--Work and jobs--Police,76,Work and jobs,"map to 2 topics (363,76)"
World War II--Incarceration camps--Work and jobs--Police,363,Law enforcement,
World War II--Japanese American Citizen League activities,400,Japanese American Citizens League activities,
World War II--Leaving camp,101,Leaving camp,
World War II--Leaving camp--'Resettlement',104,"""Resettlement""",
World War II--Leaving camp--Returning home,106,Returning home,
World War II--Leaving camp--Student leave,102,Student leave,
World War II--Leaving camp--Work leave,103,Work leave,
World War II--Mass removal ('Evacuation'),57,"Mass removal (""evacuation"")",
World War II--Mass removal ('Evacuation')--'Evacuation Day',190,"""Evacuation Day""",
World War II--Mass removal ('Evacuation')--Aftermath,191,Aftermath,
World War II--Mass removal ('Evacuation')--Exclusion orders,188,Exclusion orders,
World War II--Mass removal ('Evacuation')--Japanese American community responses,52,Japanese American community responses,
World War II--Mass removal ('Evacuation')--Preparation,189,Preparation,
World War II--Military service,88,Military service,
World War II--Military service--100th Infantry Battalion,421,100th Infantry Battalion,
World War II--Military service--1399th Engineer Construction Battalion,424,1399th Engineer Construction Battalion,
World War II--Military service--1800th Engineering Battalion,221,1800th Engineer General Service Battalion,
World War II--Military service--442nd Regimental Combat Team,89,442nd Regimental Combat Team,
World War II--Military service--522nd Field Artillery Battalion,90,522nd Field Artillery Battalion,
World War II--Military service--Airborne troops,540,Airborne troops,88
World War II--Military service--Medals and awards,422,Medals and awards,
World War II--Military service--Military Intelligence Service,91,Military Intelligence Service,
World War II--Military service--Office of Strategic Services,198,Office of Strategic Services,
World War II--Military service--Recruiting and enlisting,541,Enlisting and recruiting,"map to 2 topics (88, new topic under military)"
World War II--Military service--U.S. Counterintelligence Corps,93,U.S. Counterintelligence Corps,
World War II--Military service--Varsity Victory Volunteers,423,Varsity Victory Volunteers,
World War II--Non-Incarcerated Japanese Americans,54,Non-incarcerated Japanese Americans,
"World War II--Non-Incarcerated Japanese Americans--""Voluntary Evacuation""",56,"""Voluntary evacuation""",
World War II--Pearl Harbor and aftermath,48,Pearl Harbor and aftermath,
World War II--Pearl Harbor and aftermath--'War Hysteria',187,"""War hysteria""",
"World War II--Pearl Harbor and aftermath--Arrests, searches, and seizures",50,"Arrest, searches, and seizures",
World War II--Pearl Harbor and aftermath--Decision to incarcerate,203,Decision to incarcerate,
World War II--Pearl Harbor and aftermath--Events prior to Pearl Harbor,49,Events prior to Pearl Harbor,
World War II--Pearl Harbor and aftermath--Martial law in Hawai'i,425,Martial law in Hawai'i,
World War II--Pearl Harbor and aftermath--Personal recollections,51,Personal recollections,
World War II--Pearl Harbor and aftermath--Responses of non-Japanese Americans,53,Responses of non-Japanese Americans,
World War II--Propaganda,426,Propaganda,
World War II--Propaganda--Media propaganda,427,Media propaganda,
World War II--Propaganda--U.S. government propaganda,170,U.S. government propaganda,
World War II--Resistance and dissidence,94,Resistance and dissidence,
World War II--Resistance and dissidence--Draft resistance--Fair Play Committee,428,Fair Play Committee,
World War II--Resistance and dissidence--Expatriation/repatriation/deportation,107,Expatriation/repatriation/deportation,
World War II--Resistance and dissidence--Renunciation of citizenship,87,Renunciation of citizenship,
World War II--Resistance and dissidence--Segregation and Tule Lake,86,Segregation and Tule Lake,
World War II--Resistance and dissidence--Supreme Court cases--Gordon Hirabayashi,97,Gordon Hirabayashi,
World War II--Support from the non-Japanese American community,80,Support from the non-Japanese American community,
World War II--Temporary Assembly Centers,61,Temporary Assembly Centers,
World War II--Temporary Assembly Centers--Arts and literature,171,Arts and literature,
"World War II--Temporary Assembly Centers--Conflicts, intimidation, and violence",404,"Conflicts, intimidation, and violence",
World War II--Temporary Assembly Centers--Construction,529,Construction,61
World War II--Temporary Assembly Centers--Education,207,Education,
"World War II--Temporary Assembly Centers--Facilities, services, and camp administration",206,"Facilities, services, and camp administration",
"World War II--Temporary Assembly Centers--Facilities, services, and camp administration--Finances",206,"Facilities, services, and camp administration",disregard; map to 206
"World War II--Temporary Assembly Centers--Facilities, services, and camp administration--Laundry",206,"Facilities, services, and camp administration",disregard; map to 206
World War II--Temporary Assembly Centers--Food,405,Food,
World War II--Temporary Assembly Centers--Funerals,406,Funerals,
World War II--Temporary Assembly Centers--Holidays and festivals,407,Holidays and festivals,
World War II--Temporary Assembly Centers--Housing,62,Living conditions,disregard; map to 62
World War II--Temporary Assembly Centers--Housing--Barracks,62,Living conditions,disregard; map to 62
World War II--Temporary Assembly Centers--Housing--Stockyards,62,Living conditions,disregard; map to 62
World War II--Temporary Assembly Centers--Impacts of incarceration,408,Impacts of incarceration,
World War II--Temporary Assembly Centers--Living conditions,62,Living conditions,
World War II--Temporary Assembly Centers--Medical care and health issues,409,Medical care and health issues,
World War II--Temporary Assembly Centers--Political rights,530,Politics and self-governance,"""Politics and self-governance"" 61"
World War II--Temporary Assembly Centers--Publications,193,Publications,
World War II--Temporary Assembly Centers--Religion,410,Religion,
World War II--Temporary Assembly Centers--Security,531,Security,61
World War II--Temporary Assembly Centers--Social and recreational activities,63,Social and recreational activities,
World War II--Temporary Assembly Centers--Sports,411,Sports,
World War II--Temporary Assembly Centers--The Journey,192,The journey,
World War II--Temporary Assembly Centers--Voting rights,530,Politics and self-governance,"""Politics and self-governance"" 61"
World War II--Temporary Assembly Centers--Weddings,412,Weddings,
World War II--Temporary Assembly Centers--Work and Jobs,208,Work and jobs,
World War II--U.S. Army internment camps,432,U.S. Army internment camps,
